customer_id,age,tenure,monthly_charges,total_charges,contract_length,payment_method,internet_service,online_security,tech_support,churn
3130,33.8276028315673,4.246338772391187,71.22816702378661,1729.9642084053612,12,Electronic Check,Fiber Optic,No,Yes,0
8574,58.22000170199354,0.9898860882462184,51.632647505375104,1341.734487111618,24,Bank Transfer,No,Yes,Yes,1
9094,59.2185798028447,0.9952497962720532,78.41119982385338,1517.1665393819503,1,Credit Card,DSL,No,No,0
4881,54.906733217956585,3.8895948167211314,39.30062507396091,2308.599946322448,1,Credit Card,DSL,No,No,0
2743,40.65272002965199,2.75579743892267,60.57743544171756,2055.8193370567096,24,Mailed Check,DSL,No,Yes,0
4538,35.44974898784299,1.484068248404574,75.14599971259503,2440.348605277267,12,Mailed Check,DSL,Yes,Yes,0
778,36.287220466727426,4.38401586929465,74.52530034513111,841.7031414882864,24,Bank Transfer,No,Yes,No,0
6005,36.78774533933217,1.215694423570639,76.3357278117641,1763.3397384577884,1,Bank Transfer,DSL,No,Yes,0
8110,46.22176693118862,1.2090636201911893,34.61176247932386,1299.9000897882895,12,Mailed Check,DSL,Yes,Yes,0
2112,37.558106408915584,3.9167475622036343,33.22993727183655,3100.818191087469,12,Electronic Check,DSL,No,Yes,0
6281,41.701840600848286,1.7398462196133393,73.09924395182333,974.4566442004244,24,Credit Card,Fiber Optic,No,Yes,0
7341,31.005400077681944,2.4727696655643885,26.240533710232945,1928.3407650422985,12,Bank Transfer,DSL,Yes,Yes,0
6204,68.01193006242026,0.8517664914967402,59.306708991294585,2930.572511986383,24,Electronic Check,Fiber Optic,No,Yes,0
2006,43.19940561059408,3.1378677096975407,60.2714812325864,832.3762799265006,12,Credit Card,DSL,Yes,No,0
2788,20.558250036251582,1.296602902596186,72.09713080515554,78.46494013837855,24,Bank Transfer,No,No,Yes,0
5165,51.91900574417817,0.0200069884736273,57.160926636427824,1206.3076120267815,24,Credit Card,No,Yes,No,0
3907,59.88148163642617,0.2233001713573172,69.69846100994421,1164.5022504666103,12,Bank Transfer,Fiber Optic,No,Yes,0
2914,51.368827748854294,1.0158477064780222,90.33607216886668,1458.9843082125296,12,Credit Card,Fiber Optic,Yes,No,1
9688,17.1460328399775,0.2263373323447581,90.84813801823108,1738.540562221975,12,Bank Transfer,DSL,Yes,Yes,1
7595,61.7041621958047,1.4773789485725457,89.32254495343203,1101.8978537968192,12,Electronic Check,DSL,No,Yes,1
865,30.808169642734207,1.0006821712176794,67.83118533791588,542.2740634463831,12,Bank Transfer,Fiber Optic,No,No,1
2721,69.31236150625429,1.256940613370684,60.92642730855289,-568.5225798515839,24,Bank Transfer,Fiber Optic,Yes,Yes,0
1057,39.61668893512832,5.883512201785018,60.80943236965889,932.5199693586692,12,Mailed Check,DSL,Yes,No,0
2948,-4.8670395635108505,0.7388407922194272,70.92935132098451,1448.9563538180446,12,Mailed Check,DSL,No,Yes,0
1335,42.23001185803167,2.1109545347122576,66.42462794918029,1680.9836380924132,24,Bank Transfer,Fiber Optic,Yes,Yes,0
6675,54.04084251904024,3.2320417136450628,99.01549575081852,1793.2029181998837,24,Bank Transfer,DSL,Yes,Yes,1
2215,32.94936778360748,1.7312959485423207,56.59521850270046,1479.3691940105896,12,Bank Transfer,Fiber Optic,Yes,No,1
5275,33.85298134309701,1.9247859864641963,52.34005935407416,2243.0651241232845,1,Bank Transfer,DSL,No,No,1
5388,17.312065520516867,2.2016211536327384,13.23281672897103,1553.8810382246245,12,Bank Transfer,DSL,Yes,Yes,0
1614,38.83244204480797,2.024196757961628,30.04230810676289,2424.7591492228808,12,Bank Transfer,DSL,No,No,0
6179,63.87100551644206,2.9912997580477607,71.22787002156146,1928.1068988092952,12,Mailed Check,No,Yes,Yes,0
5668,50.74884009639477,6.436997203935174,87.30248630989936,950.3438415921096,1,Bank Transfer,DSL,Yes,Yes,0
1655,45.077257651925365,1.9795320830870553,44.45373153898055,1631.937150340057,1,Credit Card,Fiber Optic,Yes,Yes,0
4108,60.34875078741973,0.9704091060100052,72.69701129364404,1514.2638880050054,12,Bank Transfer,Fiber Optic,No,Yes,1
8366,45.27493532461089,0.0298281739579274,85.17772273533524,1419.5804060838575,12,Mailed Check,DSL,No,Yes,0
6329,60.88058127380637,0.516138091510774,76.02193966619677,1120.2838420918736,1,Bank Transfer,Fiber Optic,Yes,Yes,1
7769,50.407351807886535,0.7034726874348545,58.21206369266764,903.507553788102,1,Credit Card,DSL,No,No,0
1518,49.462175268321666,1.1361357814722324,51.88497478721722,1505.827977793179,1,Electronic Check,DSL,Yes,Yes,0
1749,42.843724248981154,2.649322469723306,39.53677211680202,1822.9684587635927,1,Mailed Check,Fiber Optic,No,Yes,0
4329,65.49153974513064,1.5359843748461328,67.20215171512658,1533.320736128569,12,Electronic Check,DSL,No,Yes,0
8114,20.96526134118252,0.1186335908820097,65.36186963121006,374.4247910583374,24,Electronic Check,DSL,Yes,No,0
3721,54.933722710030445,0.8467209510188392,85.4686691112902,1673.1882851902765,1,Bank Transfer,Fiber Optic,Yes,Yes,1
8396,53.43694327353893,0.9553951404213632,47.1401896583954,826.977629954683,1,Electronic Check,DSL,Yes,Yes,1
8887,45.08137243420549,1.1606342778271517,67.48110835677078,939.1878426583304,1,Electronic Check,No,No,Yes,0
9858,34.22811964593894,0.1515661342588926,52.27439300549592,279.11502255700066,12,Mailed Check,DSL,No,Yes,0
5623,25.900482562749005,5.0969138852579166,102.74332123342496,1683.2970748144342,24,Electronic Check,Fiber Optic,Yes,Yes,1
7360,69.15293321683296,0.0447758249377255,19.041749344285364,-225.1857071421232,12,Mailed Check,No,Yes,No,0
6403,34.514843762042204,0.3648029147046623,65.24961410971879,1734.5654968630645,12,Credit Card,No,Yes,Yes,0
9126,40.966112836479134,3.61581476130104,55.578928592302105,823.3924732051318,24,Credit Card,No,Yes,No,0
792,43.115315307446664,0.6581033743059521,43.2778062734875,1460.297288498028,12,Credit Card,Fiber Optic,Yes,No,0
8754,34.367365290407506,0.4494486057400042,46.5555095733223,1687.2317268266563,24,Electronic Check,Fiber Optic,Yes,No,0
8891,35.4659591187621,3.8209132906614593,76.71517120324447,1538.6613966568168,1,Credit Card,DSL,No,Yes,0
7764,49.109335226525396,1.049803998820058,76.26583791542394,1637.604661761217,1,Credit Card,Fiber Optic,No,Yes,1
381,27.40417236728836,7.961491591613722,81.94222414878804,868.9254011195904,12,Bank Transfer,Fiber Optic,No,Yes,1
4315,33.86037288856418,6.164240244885211,77.68505752942852,1028.0161054297837,1,Bank Transfer,DSL,Yes,No,0
7496,32.49608475119987,3.054832576688668,74.96529414391765,1508.0066774468312,12,Mailed Check,Fiber Optic,No,Yes,0
3763,27.80478441609805,0.687460273429167,63.90706110471059,2937.124684127717,24,Credit Card,Fiber Optic,Yes,Yes,0
2375,56.76098223853691,0.3453714755525631,57.22861506495459,1635.7316968015798,24,Mailed Check,Fiber Optic,Yes,Yes,0
5050,37.19981556529832,0.7910635265099376,51.0496685872776,1074.699529458197,1,Electronic Check,DSL,Yes,Yes,0
2602,49.295671689492046,0.1665786814931023,77.06392146117369,1293.9472523157651,12,Electronic Check,Fiber Optic,No,Yes,1
8008,62.470176554566414,0.3276281454902443,93.94909664692408,1709.2799652960514,12,Electronic Check,Fiber Optic,No,No,0
3384,55.40479394979599,1.4915434143386308,63.40865902027725,915.372932764137,12,Bank Transfer,No,Yes,No,0
1430,35.84780050166619,7.346737606271531,59.80505233203382,1239.176546754025,24,Mailed Check,Fiber Optic,Yes,Yes,0
1114,47.43522831958907,0.0275441039015127,47.43199045321398,2078.7197103661097,24,Bank Transfer,Fiber Optic,No,Yes,1
5371,21.36630199676156,2.6713995055198647,89.91450155205995,1128.7750269957648,1,Credit Card,Fiber Optic,Yes,Yes,1
7884,39.14408062853266,1.315881330469948,66.9558956563935,1526.0664563996686,1,Mailed Check,Fiber Optic,No,Yes,0
